Log_ID,Application_ID,Layer_ID,Status_flag,Execution_time_seconds,Execution_start_time,Execution_end_time,Table_ID,Table_name,Job_ID,Batch_execution_ID,Job_execution_ID,Source_records,Target_records
5826161,111,11101305,S,526,2024-06-26,2024-06-26,1110130500596,Fact_Sales_Order_Simulate_Shipment_Line_Item,111013595,eb7ea13e74524af583a5081a2078127a,6a373def291040b493a45e76f1797f0b,127462,127462
5826153,111,11101305,S,486,2024-06-26,2024-06-26,1110130500592,Fact_Sales_Order_Simulate_Shipment_Pricing_Condition,111013591,41120958c9fa42ea997312ab2425263e,8a60f0ed400b451eb3f409e37a19f9ca,254174,254174
5826144,111,11101307,S,152,2024-06-26,2024-06-26,1110130700002,orders_and_shipments.fact_enterprise_daily_contract_recognition_merged,111000022,653812d1f2214ee6a9659a9ec6dad195,ce57c0b6e4c542a396f0413bd8938dc5,1327132,1327132
5826143,99,9999999,S,404,2024-06-26,2024-06-26,999999900002,Default UOW for Databricks,111000022,1e4294e9cf514158b8e5a45b1ac5418a,ce57c0b6e4c542a396f0413bd8938dc5,0,0
5826121,111,11101304,S,372,2024-06-26,2024-06-26,1110130400596,Fact_Sales_Order_Simulate_Shipment_Line_Item_Hist,111013595,eb7ea13e74524af583a5081a2078127a,6a373def291040b493a45e76f1797f0b,127462,127462
5826118,111,11101303,S,45,2024-06-26,2024-06-26,1110130300596,Fact_Sales_Order_Simulate_Shipment_Line_Item_Incr,111013595,eb7ea13e74524af583a5081a2078127a,6a373def291040b493a45e76f1797f0b,127462,127462
5826108,111,11101304,S,396,2024-06-26,2024-06-26,1110130400592,Fact_Sales_Order_Simulate_Shipment_Pricing_Condition_Hist,111013591,41120958c9fa42ea997312ab2425263e,8a60f0ed400b451eb3f409e37a19f9ca,254174,254174
5826070,111,11101303,S,261,2024-06-26,2024-06-26,1110130300592,Fact_Sales_Order_Simulate_Shipment_Pricing_Condition_Incr,111013591,41120958c9fa42ea997312ab2425263e,8a60f0ed400b451eb3f409e37a19f9ca,0,0
5826069,111,11101305,S,1689,2024-06-26,2024-06-26,1110130500512,Fact_Enterprise_Sales_Order_Pricing_Condition,111013616,db698f20bbac4619a0d315f8025de2ca,54a537b765e94107af41b4645bf1839e,6652909,6652909
5826063,111,11101305,S,699,2024-06-26,2024-06-26,1110130500531,Fact_Enterprise_Sales_Order_Line_Item,111013621,6fd0997d9c54409f8458b2a4b5f3e5aa,6bbf0459ae8d47d2a2cb39a8ff42d2e6,1490293,1490293
